List,TestOrder,TrialID,Type,Verb,TargetAnimal,TargetInstrument,DistractorAnimal,DistractorInstrument,ta,ti,da,di,soundID
1,1,p1,Practice,Use,bird,mitten,chicken,cup,bird_mitten,mitten,chicken_cup,cup,133
1,2,p2,Practice,Wave,camel,hat,fish,flag,camel_hat,hat,fish_flag,flag,134
1,3,p3,Practice,Touch,frog,shell,butterfly,towel,frog_shell,shell,butterfly_towel,towel,135
1,4,22,Equi,pointto,penguin,leaf,lion,hat,penguin_leaf,leaf,lion_hat,hat,57
1,5,49,mod,hug,panda,partyhat,bird,pencil,panda_partyhat,partyhat,bird_pencil,pencil,49
1,6,f5,filler,make,camel,hat,whale,flute,camel_hat,hat,whale_flute,flute,128
1,7,27,Equi,feed,zebra,book,dog,flower,zebra_book,book,dog_flower,flower,73
1,8,44,Inst,tease,leopard,lollipop,lion,fan,leopard_lollipop,lollipop,lion_fan,fan,59
1,9,8,Equi,pat,dog,flower,horse,spoon,dog_flower,flower,horse_spoon,spoon,23
1,10,f2,filler,drag,bear,stick,squirrel,pen,bear_stick,stick,squirrel_pen,pen,120
1,11,9,Inst,tease,dog,crayon,whale,necklace,dog_crayon,crayon,whale_necklace,necklace,95
1,12,5,Equi,locate,camel,tube,elephant,crayon,camel_tube,tube,elephant_crayon,crayon,75
1,13,f3,filler,have,bunny,brush,camel,tube,bunny_brush,brush,camel_tube,tube,126
1,14,50,mod,lookat,chicken,leaf,camel,hat,chicken_leaf,leaf,camel_hat,hat,47
1,15,11,mod,pickout,duckling,straw,horse,bottle,duckling_straw,straw,horse_bottle,bottle,5
1,16,19,Equi,spot,lion,straw,bear,fork,lion_straw,straw,bear_fork,fork,21
1,17,f4,filler,make,butterfly,towel,hippo,fork,butterfly_towel,towel,hippo_fork,fork,127
1,18,f17,filler,drag,panda,fork,bird,pencil,panda_fork,fork,bird_pencil,pencil,117
1,19,6,Equi,scuff,chicken,cup,cow,fan,chicken_cup,cup,cow_fan,fan,15
1,20,42,Inst,smack,dog,hat,elephant,clip,dog_hat,hat,elephant_clip,clip,81
1,21,17,Equi,feel,leopard,candle,elephant,spoon,leopard_candle,candle,elephant_spoon,spoon,44
1,22,34,Equi,pointto,fish,funnel,duckling,straw,fish_funnel,funnel,duckling_straw,straw,18
1,23,35,Equi,scuff,pig,flower,bird,pencil,pig_flower,flower,bird_pencil,pencil,68
1,24,f12,filler,get,hippo,book,penguin,straw,hippo_book,book,penguin_straw,straw,112
1,25,10,mod,pet,dolphin,sponge,pig,spoon,dolphin_sponge,sponge,pig_spoon,spoon,72
1,26,2,mod,find,bird,mitten,duckling,lollipop,bird_mitten,mitten,duckling_lollipop,lollipop,103
1,27,39,Inst,hit,frog,cup,duckling,lollipop,frog_cup,cup,duckling_lollipop,lollipop,31
1,28,f8,filler,use,dolphin,net,frog,cup,dolphin_net,net,frog_cup,cup,131
1,29,43,Inst,strike,elephant,necklace,bird,mitten,elephant_necklace,necklace,bird_mitten,mitten,26
